sku,cost
COVE1ELGBRZ,124.0
85979N,50.15
200671,41.65
200672,75.65
200673,101.15
200674,126.65
20748/05,191.94
20749/05,212.69
NORDIC1,96.33
NORDIC2,96.33
NORDIC3,144.55
NORDIC4,144.55
NORDIC5,192.76
NORDIC6,192.76
MG4231S,160.98
MG4061,90.56
MG4131S,69.11
MW5611BLK,41.08
MW5611BRZ,41.08
A13011BLK,17.63
A13011WHT,17.63
BOTANY-92-LED-D45,716.05
PLYM1EBRZ,74.0
PLYM1EBLK,74.0
HV1087GU10T,45.08
MX4011BLK,22.79
MX4011BGE,22.79
MX4011WHT,22.79
MX4011-BLK-SEN,45.22
MX4011-WHT-SEN,45.22
MX4011-BGE-SEN,45.22
HV1007GU10T,90.79
HV1207GU10T,75.32
HV1287GU10T,39.06
HV1107GU10T,76.23
HV1137GU10T,32.06
HV1387GU10T,71.89
HV1451T,68.11
LOI1000464,47.7
LOI1000027,283.5
LOI1000575,192.6
LOI1000030,409.5
LOI1000033,100.8
LOI1000031,179.1
LOI1000578,319.5
LOI1000586,72.0
LOI1000584,118.8
LOI1000582,146.7
LOI1000565,381.6
LOI1000573,118.8
LOI1000571,148.5
LOI1000569,201.6
LOI1000599,84.6
LOI1000494,288.0
LOI1000493,107.1
LOI1000499,78.3
LOI1000497,113.4
LOI1000496,112.5
LOI1000491,161.1
93994,4.25
LOI1000443,63.0
LOI1000399,75.6
LOI1000400,75.6
LOI1000529,71.1
LOI1000514,61.2
BENS1WW,44.0
BENS1WSC,44.0
LLG95B22-12W-WW,6.5
LLG95B22-12W-DL,6.5
LLA55B22-7W-WW,3.0
LLA55B22-7W-DL,3.0
FRM87,34.41
6N78283011,114.0
6N78283001,114.0
6N78283003,114.0
FD360900WH,30.01
FD360900BC,32.39
LLA65B22-12W-WW,4.5
LLA65B22-12W-DL,4.5
LLA65E27-12W-WW,4.5
LLA65E27-12W-DL,4.5
LLA72B22-15W-DL,6.0
LLA72E27-15W-DL,6.0
HV2826CCT,148.68
AERO1PBLK,72.0
AERO1PWH,72.0
AERO1PSC,92.0
HV3270T-WHT-12V,42.07
HV3270T-BLK-12V,42.07
HV3270T-SLV-12V,42.07
HV9651,14.28
HV9652,21.77
HV9653,33.46
Bonito1,270.75
Bonito2,609.3
Bonito3,1149.55
BE340ESPWH,53.28
BE320ESPWH,53.28
BE330ESPWH,64.41
MXD6711BLK,33.84
MXD6711SIL,33.84
MXD6712BLK,53.88
MXD6712SIL,53.88
LOI1000146,71.1
LOI1000149,63.9
LOI1000397,63.9
LOI1000596,58.5
LOI1000317,152.1
LOI1000315,324.0
LOI1000314,182.7
ANGL1EBLK,71.5
85977,50.15
LOI1000296,449.1
LOI1000297,585.0
LOI1000294,1169.1
LOI1000261,104.4
LOI1000262,130.5
LOI1000249,112.32
LOI1000250,140.4
LOI1000256,309.6
LOI1000258,93.6
LOI1000247A,173.7
LOI1000248A,173.7
LOI1000251A,279.0
LOI1000252A,279.0
LOI1000264,47.7
LOI1000263,38.16
LOI1000606,139.5
LOI1000607,195.3
LOI1000608,320.4
LOI1000609,836.1
LOI1000610,65.7
SL98787CO,179.0
49495,101.15
49496,327.25
LLA60B22-8W-12V-WW,6.0
LLA60E27-8W-12V-DL,6.0
LLA60E27-8W-12V-WW,6.0
OL99441AB,126.0
OL99441BP,126.0
OL99458AB,139.0
OL99458CH,139.0
MA1806SN,7.41
MA1808SN,7.42
MA1806WHITE,7.41
MA1808WHITE,11.67
18562/09,29.05
18562/06,29.05
FC360143BB,199.69
FC368143BB,170.59
8R136001000,400.0
A13041WHT,17.63
A13041BLK,17.63
A13041BC,20.22
A13011BC,19.56
V31RFR,65.17
VERCELLI-3L Black,480.55
VERCELLI-12+8+4L Black,4737.45
FATINA-1L White,134.0
DEVON-5 Chrome,392.55
DEVON-5 Black,299.99
AUSTRA-5L Black,175.8
KLESH-5L Black,229.95
KLESH-21L Black,1177.0
FORME-1L PDT WHITE,182.7
CLAHACAN28WSESFR,2.83
ML7224WHT,199.75
MD510B-SW,13.9
MD510W-SW,13.9
MD510S-SW,14.86
BS122ESWWH,59.5
BS124ESWWH,76.5
MX88011S,67.25
MW1811RWHT,17.64
MW1811RBLK,17.64
MW1811SWHT,17.64
MW1811SBLK,17.64
LOI1000583,195.12
LOI1000585,234.0
LOI1000329,202.5
LOI1000330,202.5
LOI1000327,179.1
LOI1000328,179.1
LOI1000335,270.0
LOI1000336,270.0
LOI1000333,269.1
LOI1000334,269.1
LOI1000123,216.0
LOI1000122,405.0
LOI1000121,269.1
LOI1000140,43.2
LOI1000141,54.0
LOI1000134,108.0
LOI1000135,135.0
LOI1000131,112.5
LOI1000138,160.56
LOI1000139,200.7
LOI1000803,671.04
LOI1000804,1115.28
LOI1000800,162.0
SG71201BK,85.0
SG71202BK,135.0
LOI1000136,333.9
LOI1000137,407.7
LOI1000809,605.7
LOI1000808,539.1
LOI1000807,928.8
LOI1000811,342.9
LOI1000810,359.1
HV3281T-SS316-12V,58.73
HV3281T-AB-12V,58.73
LOI1000814,122.4
LOI1000813,180.0
LOI1000815,210.6
LOI1000819,353.7
LOI1000817,225.0
204581,82.875
FD360900BK,27.53
SPY1253NBL,138.635
HAR1204TI,126.98
LUX01-W-LUX03BL-SH,189.0
LUX01-W-LUX03W-SH,189.0
LUX01-W-LUX03B-SH,189.0
LUX03-P-LUX03W-SH,351.0
LUX03-P-LUX03BL-SH,351.0
LUX03-P-LUX03G-SH,351.0
LUX03-P-LUX03B-SH,351.0
LUX05-P-PNTUBE,423.0
HAR1204WH,120.855
WAL75-DC,212.205
MAD1ELGBLK,120.0
MAD1ELGBRZ,120.0
24039,765.0
FD250900BK,34.0
FD250900WH,34.0
FD250900BS,34.0
MX1210O-CCT,14.01
XSEN003MW-BLK,21.5
MW2902BLK-CCT,45.94
MW2902WHT-CCT,45.94
MP3531S,38.5
XSEN005PIR,17.12
XSEN002PIR,16.81
22001,32.37
5520005,25.4915
BICH1EBLK,76.5
CALG2EBLK,59.0
CALG2ESLV,59.0
MX5911CCT,38.34
A49731BLK,83.56
A49721BLK,88.19
A89391BLK-3,60.06
A86321BLK,80.7
A86321WHT,83.81
MXD5612R-BLK,39.42
A13041YEL,9.28
MP3731S,94.47
MP3731L,155.85
ML10028CCT,21.93
ML10040CCT,34.9
MX1210R-CCT,16.08
MX1210R-CCT-SEN,31.75
MP6937,42.67
LOI1001099,238.5
LOI1001097,378.9
LOI1001100,409.5
LOI1001098,168.3
HV5530T-WHT,26.11
METI01,1335.19
METI02,821.64
METI03W,383.38
AMELIA OY28-3C,44.5825
AMELIA OY40-3C,62.7725
BE3400SPWH,39.06
BE3500SPWH,43.8
OBE07-W,94.0
HV1097GU10T,140.14
HV1297GU10T,96.95
HV1197GU10T,91.84
HV1397GU10T,183.33
ST02B-W-ST01BL-SH,135.0
ST01B-W-ST01BL-SH,99.0
ST01B-W-ST01N-SH,99.0
ST01B-W-BRTUBE,81.0
PVPXHF250RDR,105.63
PVPXHF200RDR,79.135
PVPXHF250SQR,105.63
PVPXHF200SQR,79.135
94831,80.75
SAH31WH,318.675
SAH31BL,318.675
32917,84.15
16324,62.135
16318,62.135
16320,68.34
25709,92.99
FC990186GRKIT,331.05
FC990216GRKIT,361.9
FD476240GR,76.25
FD476090GR,34.08
FD476180GR,53.14
FC990216BCKIT,372.96
FC990186BCKIT,342.13
FLF4781BC,59.99
FD476090BC,31.77
FD476180WH,50.83
HV9658-24V300W,125.09
203369,297.39
203371,297.39
202969,332.1
202971,332.1
203372,327.57
203373,327.57
202972,362.29
202979,42.0
203375,78.6
203376,42.0
6N43293003,150.0
6N43293001,150.0
6N43293010,150.0
RYE EX20-BRS,153.7225
RYE EX27-BRS,271.9575
LOI1001373,101.7
LOI1001376,101.7
LOI1001372,53.1
LOI1001375,53.1
LOI1001167,44.1
LOI1001168,44.1
LOI1001169,155.7
LOI1001171,206.1
LOI1001170,155.7
LOI1001172,206.1
LOI1000442,98.1
LOI1000148,63.9
LOI1000463,86.4
LOI1001221,63.9
LOI1001149,101.7
LOI1000147,90.0
LOI1001395,95.4
LOI1001394,128.7
LOI1001393,139.5
LOI1001392,128.7
LOI1001113,89.1
LOI1001101,84.6
LCG45B15-4W-DL,3.5
LCG45B15-4W-WW,3.5
LCG45B22-4W-DL,3.5
LCG45B22-4W-WW,3.5
LCG45E14-4W-DL,3.5
LCG45E14-4W-WW,3.5
LCG45E27-4W-DL,3.5
LCG45E27-4W-WW,3.5
KOBE16WLED3000K,34.9
KOBE27WLED3000K,39.9
LOI1001096,206.1
LOI1001112,122.4
LOI1001110,97.92
LOI1001111,106.56
200693,21.25
200694,29.75
200695,38.25
49991N,293.25
97366,97.75
FC368163WH,159.35
FC368163BB,164.35
97368,327.25
FC360163BB,305.62
202938,94.35
202939,113.05
206109,73.95
206111,94.35
206112,113.05
83433,33.15
49772,177.65
49771,157.25
abbey1,232.76
abbey2,260.14
HV9506D,9.59
96477,92.65
49468,61.625
94187,58.65
96566,78.625
202779,78.625
203622,158.33
202622,4.25
202624,4.25
202628,2.55
202626,6.1625
203905N,19.975
32918N,84.15
97296,118.15
HV1117GU10T,96.95
HV1217GU10T,102.2
HV1317GU10T,192.08
HV1491T,94.92
HV1494T,200.69
SUNB1000BL,110.74
SUNB2000BL,126.665
HV1494RGB,200.69
VSH2400,373.8
VSH1800-R,297.885
PVP31HLXWH,385.77
11323,112.67
11344,160.08
12309,163.81
12310,178.18
12215,13.27
12282,15.92
VEDLKWH,109.34
VATK150,112.245
VMFIL100,71.47
VMFIL200,172.795
VMFIL150,113.26
HV2826-D-12W,28.63
20682/05,38.48
20684/05,43.68
20686/05,54.08
20688/05,59.28
A29111,61.74
AIP2661,344.96
GRA06-W,99.0
GRA10-P,612.0
GRA01-T,126.0
203621,126.13
203619,126.13
203625,132.22
203624,132.22
203627,161.98
203626,161.98
P3B2571,186.34
P3B2575,200.97
203628,30.0
203631,30.0
205127,46.0
DC2460,33.11
DC2461,33.11
TBF0861,1154.23
TBF0862,1154.23
DC2470,81.62
DC2471,81.62
TBF1061,1385.23
TBF1062,1385.23
A2002,56.21
A2003,64.68
A3520,68.53
HV3684T-BLK,122.43
HV3684T-WHT,122.43
HV3683T-WHT,111.58
HV3683T-BLK,111.58
HV3681T-BLK,78.54
HV3681T-WHT,78.54
SPY1253BL-L,188.335
SPY1253WH-L,188.335
SPY1423BL-L,218.155
SPY1423BAM-L,268.8
SPY903WH-L,178.99
20684716,342.17
20684707,342.17
20684816,376.82
20684807,376.82
20684916,368.16
20684907,368.16
20685116,402.81
20715/05,68.64
NIGHT01,10.37
FC360143RB,216.81
31350,74.885
31351,74.885
31352,74.885
31395,56.015
31396,56.015
31367,124.015
31366,124.015
HV5530T-BLK,26.11
HV1187GU10T,34.72
WBF110,3.16
WBF145,3.6
HV9911,40.11
HV9913,33.04
HV9912,52.64
HV1071T,41.58
HV1171T,33.81
HV1271T,35.63
HV1072T,41.58
HV1172T,33.81
HV1272T,35.63
HV1372T,78.82
8R152003019,445.0
8R152003001,445.0
8R152003000,445.0
8R152003059,445.0
8R152003067,445.0
8R152003053,445.0
8R152003065,445.0
LFGU10D-12W-DL,11.0
LFGU10D-12W-WW,11.0
20368,87.21
20367,87.21
20366,76.245
HV9693-1806-3M,40.67
HV1401T,79.87
HV1402T,50.47
HV1409T,39.55
HV1412T,88.13
Hv9507,9.59
LOI1000292,2160.0
HV1413T,113.4
HV1423T,60.55
HV1425T,80.57
HV1421T,33.67
HV1427T,33.67
HV1428T,21.14
20114,68.765
20794,26.98
HV1458T,63.0
HV1462T-BLK,50.47
HV1487T,37.87
HV1489T-TTM,54.39
HV1489T-BLK,54.39
HV1607,16.38
WAL01-W,90.0
CLA05-W,99.0
AMA02-W,99.0
ALB03-W,72.0
MAN08-W,98.0
UA4240/3000WH,45.0
UA4240/4000WH,45.0
43194,341.275
49473N,58.65
49549N,279.65
49074N,47.175
49071N,47.175
33345N,64.175
97845N,121.125
97841N,169.15
HV1602T-BLK,69.72
