sku,cost
00120/05,12.46
007,66.07
008,66.07
009,26.26
010,36.42
013,36.42
016,36.42
018,36.42
019,60.14
020,70.30
023,70.30
028,70.30
029,88.94
050,30.49
051,30.49
061,58.44
068,88.94
080,48.28
082,48.28
083,48.28
090,14.40
091,14.40
10000,37.31
10001,37.31
10002,37.31
10003,37.31
10004,37.31
10005,37.31
10006,37.31
10007,37.31
10008,37.31
10010,37.31
10011,37.31
10012,37.31
10013,37.31
10014,37.31
10015,37.31
10016,37.31
10017,37.31
10018,37.31
10020,37.31
10021,37.31
10022,37.31
10023,37.31
10024,37.31
10025,37.31
10026,37.31
10027,37.31
10028,37.31
10030,37.31
10031,37.31
10032,37.31
10033,37.31
10034,37.31
10035,37.31
10036,37.31
10037,37.31
10038,37.31
10040,46.66
10041,46.66
10042,46.66
10043,46.66
10044,46.66
10045,46.66
10046,46.66
10047,46.66
10048,46.66
10050,46.66
10051,46.66
10052,46.66
10053,46.66
10054,46.66
10055,46.66
100550/05,43.91
100550/06,46.29
100550/13,43.91
100550/20,46.29
100550/77,35.46
10056,46.66
10057,46.66
10058,46.66
10060,46.66
10061,46.66
10062,46.66
10063,46.66
10064,46.66
10065,46.66
10066,46.66
100666/16,81.90
10067,46.66
10068,46.66
10070,46.66
10071,46.66
10072,46.66
10073,46.66
10074,46.66
10075,46.66
10076,46.66
10077,46.66
10078,46.66
10080,3.27
10081,3.27
10082,3.27
10083,3.27
10084,3.27
10085,3.27
10086,3.27
10087,79.38
10088,79.38
10089,79.38
10090,79.38
10091,79.38
10092,79.38
10093,79.38
10094,79.38
10095,79.38
10097,79.38
10098,79.38
10099,79.38
100EXTGRILLESQ,7.59
10100,79.38
10101,79.38
10102,79.38
10103,79.38
10104,79.38
10105,79.38
10107,79.38
10108,79.38
10109,79.38
10110,79.38
10111,79.38
10112,79.38
10113,79.38
10114,79.38
10115,79.38
10117,79.38
10118,79.38
10119,79.38
10120,79.38
10121,79.38
10122,79.38
10123,79.38
10124,79.38
10125,79.38
10127,84.06
10128,84.06
10129,84.06
10130,84.06
10131,84.06
10132,84.06
10133,84.06
10134,84.06
10135,84.06
10137,84.06
10138,84.06
10139,84.06
10140,84.06
10141,84.06
10142,84.06
10143,84.06
10144,84.06
10145,84.06
10147,84.06
10148,84.06
10149,84.06
10150,84.06
10151,84.06
10152,84.06
10153,84.06
10154,84.06
10155,84.06
10157,84.06
10158,84.06
10159,84.06
10160,84.06
10161,84.06
10162,84.06
10163,84.06
10164,84.06
10165,84.06
10167,4.21
10168,4.21
10169,4.21
10170,4.21
10171,4.21
10172,4.21
10173,4.21
10300,233.66
10304,373.91
10330,28.00
10331,31.46
10332,40.43
10333,51.98
10334,52.49
10336,89.99
10337,75.00
10338,112.49
10380,79.03
104-MODULE,71.94
10670,61.24
10671,61.24
10672,23.38
10673,23.38
10682,95.09
10683,95.09
10695,33.10
10696,33.10
10697,33.10
10698,33.10
10699,33.10
10700,34.13
10701,34.13
10702,34.13
10703,34.13
10704,34.13
10706,42.17
10707,42.17
10708,42.17
10709,42.17
10710,42.17
10718,54.88
10719,54.88
10720,54.88
10721,54.88
10722,54.88
10724,17.11
10725,15.90
10728,70.97
10729,70.97
10730,70.97
10731,70.97
10732,70.97
10734,86.21
10735,86.21
10736,86.21
10737,86.21
10738,86.21
10740,88.73
10741,88.73
10742,88.73
10743,88.73
10744,88.73
10773,19.26
10819,77.79
10820,77.79
10821,77.79
10822,77.79
10824,77.79
10825,110.89
10826,110.89
10827,110.89
10828,110.89
10830,110.89
10831,149.97
10832,149.97
10833,149.97
10834,149.97
10836,149.97
10837,183.91
10838,183.91
10839,183.91
10840,183.91
10842,183.91
10849,52.17
10850,52.17
10851,52.17
10852,52.17
10853,52.17
10854,90.13
10855,90.13
10856,90.13
10857,90.13
10858,90.13
10859,131.65
10860,131.65
10861,131.65
10862,131.65
10863,131.65
10993,138.75
10994,138.75
110017,10.29
110045,7.95
110057,20.10
110063,17.06
110064,21.27
110065,24.31
110067,14.96
110069,11.69
110071,11.69
110079,17.06
110081,21.27
110082,24.31
110083,14.96
110086,21.27
110087,24.31
110088,14.96
110089,3.69
110091,3.69
110092,3.69
110093,3.69
110094,3.69
110106,9.35
110108,9.35
110109,50.96
110111,50.96
110112,50.96
110114,7.48
110115,5.61
110116,7.48
110156,10.75
110157,10.75
110201,11.69
110202,11.69
110203,3.69
110204,3.74
110205,3.74
110206,3.74
110207,3.74
110208,3.74
110209,3.74
110224,11.22
110225,11.22
110226,11.22
110227,11.22
110228,18.23
110235,10.29
110236,10.29
110237,10.29
110238,10.29
110245,12.16
110246,14.96
110247,12.16
110248,14.96
110252,12.16
110253,14.96
110254,12.16
110255,14.96
110256,12.16
110275,21.97
110276,21.97
110277,21.97
110278,28.75
110279,28.75
110281,28.75
