sku	name	price	cost
HV9783-IP20-160-3K	2W 2835 Strip Lighting - IP20 / Per Metre - 3000K	15.1525	7.3150
HV9783-IP20-160-4K	2W 2835 Strip Lighting - IP20 / Per Metre - 4000K	15.1525	7.3150
HV9783-IP20-160-5K	2W 2835 Strip Lighting - IP20 / Per Metre - 5500K	15.1525	7.3150
HV9783-IP20-160-3K-30M	2W 2835 Strip Lighting - IP20 / 30 Metre Roll - 3000K	401.9400	194.0400
HV9783-IP20-160-4K-30M	2W 2835 Strip Lighting - IP20 / 30 Metre Roll - 4000K	401.9400	194.0400
HV9783-IP20-160-5K-30M	2W 2835 Strip Lighting - IP20 / 30 Metre Roll - 5500K	401.9400	194.0400
HV9760-IP20-320-3K	HV9760-IP20-320-3K - 4.8w IP20 24v DC 3000K COB Dotless LED Strip  Per Metre	15.1525	7.3150
HV9760-IP20-320-4K	HV9760-IP20-320-4K - 4.8w IP20 24v DC 4000K COB Dotless LED Strip  Per Metre	15.1525	7.3150
HV9760-IP20-320-5K	HV9760-IP20-320-5K - 4.8w IP20 24v DC 5500K COB Dotless LED Strip  Per Metre	15.1525	7.3150
HV9760-IP20-320-3K-30M	HV9760-IP20-320-3K-50M - 4.8w IP20 COB LED Strip 3000k 50m Roll	401.9400	194.0400
HV9760-IP20-320-4K-30M	HV9760-IP20-320-4K-50M - 4.8w IP20 COB LED Strip 4000k 50m Roll	401.9400	194.0400
HV9760-IP20-320-5K-30M	HV9760-IP20-320-5K-50M - 4.8w IP20 COB LED Strip 5500k 50m Roll	401.9400	194.0400
HV9760-IP54-320-3K	HV9760-IP20-320-3K - 4.8w IP20 24v DC 3000k COB Dotless LED Strip  Per Metre	21.8515	10.5490
HV9760-IP54-320-4K	HV9760-IP20-320-4K - 4.8w IP20 24v DC 4000k COB Dotless LED Strip  Per Metre	21.8515	10.5490
HV9760-IP54-320-5K	HV9760-IP20-320-5K - 4.8w IP20 24v DC 5000k COB Dotless LED Strip  Per Metre - 5500K	21.8515	10.5490
HV9760-IP54-320-3K-10M	HV9760-IP20-320-3K - 4.8w IP20 24v DC 3000k COB Dotless LED Strip 10m Roll	192.6760	93.0160
HV9760-IP54-320-4K-10M	HV9760-IP20-320-4K - 4.8w IP20 24v DC 4000k COB Dotless LED Strip 10m	192.6760	93.0160
HV9760-IP54-320-5K-10M	HV9760-IP20-320-5K - 4.8w IP20 24v DC 5000k COB Dotless LED Strip 10m - 5500K	192.6760	93.0160
HV9760-IP67-320-3K	HV9761-IP20-320-3K - 9.6w IP20 24v DC 3000K COB Dotless LED Strip Per Metre	25.2010	12.1660
HV9760-IP67-320-4K	HV9761-IP20-320-4K - 9.6w IP20 24v DC 4000K COB Dotless LED Strip  Per Metre	25.2010	12.1660
HV9760-IP67-320-5K	HV9761-IP20-320-5K - 9.6w IP20 24v DC 5500K COB Dotless LED Strip  Per Metre	25.2010	12.1660
HV9760-IP67-320-3K-10M	HV9761-IP20-320-3K - 9.6w IP20 24v DC 3000K COB Dotless LED Strip 10m Roll	226.1710	109.1860
HV9760-IP67-320-4K-10M	HV9761-IP20-320-4K - 9.6w IP20 24v DC 4000K COB Dotless LED Strip 10m Roll	226.1710	109.1860
HV9760-IP67-320-5K-10M	HV9761-IP20-320-5K - 9.6w IP20 24v DC 5500K COB Dotless LED Strip 10m Roll	226.1710	109.1860
HV9761-IP20-320-3K	HV9761-IP20-320-3K - 9.6w IP20 24v DC 3000K COB Dotless LED Strip Per Meter	23.4465	11.3190
HV9761-IP20-320-4K	HV9761-IP20-320-4K - 9.6w IP20 24v DC 4000K COB Dotless LED Strip Per Meter	23.4465	11.3190
HV9761-IP20-320-5K	HV9761-IP20-320-5K - 9.6w IP20 24v DC 5500K COB Dotless LED Strip Per Meter	23.4465	11.3190
HV9761-IP20-320-3K-30M	HV9761-IP20-320-3K - 9.6w IP20 24v DC 3000K COB Dotless LED Strip 30m Roll	602.9100	291.0600
HV9761-IP20-320-4K-30M	HV9761-IP20-320-4K - 9.6w IP20 24v DC 4000K COB Dotless LED Strip 30m Roll	602.9100	291.0600
HV9761-IP20-320-5K-30M	HV9761-IP20-320-5K - 9.6w IP20 24v DC 5500K COB Dotless LED Strip 30m Roll	602.9100	291.0600
HV9761-IP54-320-3K	HV9761-IP54-320-3K - 9.6w IP54 24v DC 3000K COB Dotless LED Strip per meter	28.5505	13.7830
HV9761-IP54-320-4K	HV9761-IP54-320-4K - 9.6w IP54 24v DC 4000K COB Dotless LED Strip per meter	28.5505	13.7830
HV9761-IP54-320-5K	HV9761-IP54-320-5K - 9.6w IP54 24v DC 5500K COB Dotless LED Strip per meter	28.5505	13.7830
HV9761-IP54-320-3K-10M	HV9761-IP54-320-3K - 9.6w IP54 24v DC 3000K COB Dotless LED Strip 10m Roll	251.2125	121.2750
HV9761-IP54-320-4K-10M	HV9761-IP54-320-4K - 9.6w IP54 24v DC 4000K COB Dotless LED Strip 10m Roll	251.2125	121.2750
HV9761-IP54-320-5K-10M	HV9761-IP54-320-5K - 9.6w IP54 24v DC 5500K COB Dotless LED Strip 10m Roll	251.2125	121.2750
HV9761-IP67-320-3K	HV9761-IP67-320-3K - 9.6w IP67 24v DC 3000K COB Dotless LED Strip per Meter	33.4950	16.1700
HV9761-IP67-320-4K	HV9761-IP67-320-4K - 9.6w IP67 24v DC 4000K COB Dotless LED Strip Per Meter	33.4950	16.1700
HV9761-IP67-320-5K	HV9761-IP67-320-5K - 9.6w IP67 24v DC 5500K COB Dotless LED Strip Per Meter	33.4950	16.1700
HV9761-IP67-320-3K-10M	HV9761-IP67-320-3K - 9.6w IP67 24v DC 3000K COB Dotless LED Strip 10m Roll	301.4550	145.5300
HV9761-IP67-320-4K-10M	HV9761-IP67-320-4K - 9.6w IP67 24v DC 4000K COB Dotless LED Strip 10m Roll	301.4550	145.5300
HV9761-IP67-320-5K-10M	HV9761-IP67-320-5K - 9.6w IP67 24v DC 5500K COB Dotless LED Strip 10m Roll	301.4550	145.5300
HV9723-IP20-240-3K-1	HV9723-IP20-240-3K-1 - 19.2w IP20 LED Strip 3000k per meter	46.8930	22.6380
HV9723-IP20-240-4K-1	HV9723-IP20-240-4K-1 - 19.2w IP20 LED Strip 4000k per meter	46.8930	22.6380
HV9723-IP20-240-5K-1	HV9723-IP20-240-5K-1 - 19.2w IP20 LED Strip 5500k per meter	46.8930	22.6380
HV9723-IP20-240-3K-1-30M	HV9723-IP20-240-3K-1-30M - 19.2w IP20 LED Strip 3000k 30m Roll	1306.3050	630.6300
HV9723-IP20-240-4K-1-30M	HV9723-IP20-240-4K-1-30M - 19.2w IP20 LED Strip 4000k 30m Roll	1306.3050	630.6300
HV9723-IP20-240-5K-1-30M	HV9723-IP20-240-5K-1-30M - 19.2w IP20 LED Strip 5500k 30m Roll	1306.3050	630.6300
HV9723-IP20-240-3K-2	HV9723-IP20-240-3K-2 - 19.2w IP20 LED Strip 3000k Per Meter	46.8930	22.6380
HV9723-IP20-240-4K-2	HV9723-IP20-240-4K-2 - 19.2w IP20 LED Strip 4000k Per Meter	46.8930	22.6380
HV9723-IP20-240-5K-2	HV9723-IP20-240-5K-2 - 19.2w IP20 LED Strip 5500k Per Meter	46.8930	22.6380
HV9723-IP20-240-3K-2-30M	HV9723-IP20-240-3K-2-30M - 19.2w IP20 LED Strip 3000k 30m Roll	1306.3050	630.6300
HV9723-IP20-240-4K-2-30M	HV9723-IP20-240-4K-2-30M - 19.2w IP20 LED Strip 4000k 30m roll	1306.3050	630.6300
HV9723-IP20-240-5K-2-30M	HV9723-IP20-240-5K-2-30M - 19.2w IP20 LED Strip 5500k  30m Roll	1306.3050	630.6300
HV9723-IP54-240-3K-1	HV9723-IP54-240-3K-1 - 19.2w IP54 LED Strip 3000k per Meter	51.9970	25.1020
HV9723-IP54-240-4K-1	HV9723-IP54-240-4K-1 - 19.2w IP54 LED Strip 4000k per Meter	51.9970	25.1020
HV9723-IP54-240-5K-1	HV9723-IP54-240-5K-1 - 19.2w IP54 LED Strip 5500k per Meter	51.9970	25.1020
HV9723-IP54-240-3K-1-10M	HV9723-IP54-240-3K-1-10M - 19.2w IP54 LED Strip 3000k 10m Roll	485.6775	234.4650
HV9723-IP54-240-5K-1-10M	HV9723-IP54-240-5K-1-10M - 19.2w IP54 LED Strip 5500k 10m Roll	485.6775	234.4650
HV9723-IP67-240-3K-1	HV9723-IP67-240-3K-1 - 19.2w IP67 LED Strip 3000k per meter	56.9415	27.4890
HV9723-IP67-240-4K-1	HV9723-IP67-240-4K-1 - 19.2w IP67 LED Strip 4000k Per Meter	56.9415	27.4890
HV9723-IP67-240-5K-1	HV9723-IP67-240-5K-1 - 19.2w IP67 LED Strip 5500k Per Meter	56.9415	27.4890
HV9723-IP67-240-3K-1-10M	HV9723-IP67-240-3K-1-10M - 19.2w IP67 LED Strip 3000k 10m Roll	535.9200	258.7200
HV9723-IP67-240-5K-1-10M	HV9723-IP67-240-5K-1-10M - 19.2w IP67 LED Strip 5500k 10m Roll	535.9200	258.7200
HV9783-IP20-120-3K	HV9783-IP20-120-3K - 24w IP20 LED Strip 3000k Per Meter	58.6960	28.3360
HV9783-IP20-120-4K	HV9783-IP20-120-4K - 24w IP20 LED Strip 4000k Per Meter	58.6960	28.3360
HV9783-IP20-120-5K	HV9783-IP20-120-5K - 24w IP20 LED Strip 5500k Per Meter	58.6960	28.3360
HV9783-IP20-120-3K-30M	HV9783-IP20-120-3K-30M - 24w IP20 LED Strip 3000k 30m Roll	1658.0025	800.4150
HV9783-IP20-120-5K-30M	HV9783-IP20-120-5K-30M - 24w IP20 LED Strip 5500k 30m Roll	1658.0025	800.4150
HV9783-IP20-168-3K	HV9783-IP20-168-3K - 32.6w IP20 LED Strip 3000k Per Meter	66.9900	32.3400
HV9783-IP20-168-4K	HV9783-IP20-168-4K - 32.6w IP20 LED Strip 4000k Per Meter	66.9900	32.3400
HV9783-IP20-168-5K	HV9783-IP20-168-5K - 32.6w IP20 LED Strip 5500k 20m Roll	66.9900	32.3400
HV9783-IP20-168-3K-20M	HV9783-IP20-168-3K-20M - 32.6w IP20 LED Strip 3000k 20m Roll	1272.8100	614.4600
HV9783-IP20-168-5K-20M	HV9783-IP20-168-5K-20M - 32.6w IP20 LED Strip 5500k 20m Roll	1272.8100	614.4600
HV9783-IP20-252-3K	HV9783-IP20-252-3K - 46w IP20 LED Strip 3000k Per Meter	87.0870	42.0420
HV9783-IP20-252-4K	HV9783-IP20-252-4K - 46w IP20 LED Strip 4000k Per Meter	87.0870	42.0420
HV9783-IP20-252-5K	HV9783-IP20-252-5K - 46w IP20 LED Strip 5500k Per Meter	87.0870	42.0420
HV9783-IP20-252-3K-5M	HV9783-IP20-252-3K-5M 46w IP20 LED Strip 3000k 5m Roll	418.6875	202.1250
HV9783-IP20-252-5K-5M	HV9783-IP20-252-5K-5M 46w IP20 LED Strip 5500k 5m Roll	418.6875	202.1250
HV9761-IP20-320-R	HV9761-IP20-320-R - 9.6w IP20 24v DC Red COB Dotless LED Strip per Meter	23.4465	11.3190
HV9761-IP20-320-R-30M	HV9761-IP20-320-R-30M - 9.6w IP20 24v DC Red COB Dotless LED Strip 30m Roll	602.9100	291.0600
HV9761-IP20-320-G	HV9761-IP20-320-G - 9.6w IP20 24v DC Green COB Dotless LED Strip Per Meter	23.4465	11.3190
HV9761-IP20-320-G-30M	HV9761-IP20-320-G-30M - 9.6w IP20 24v DC Green COB Dotless LED Strip 30 Meters	602.9100	291.0600
HV9761-IP20-320-B	HV9761-IP20-320-B - 9.6w IP20 24v DC Blue COB Dotless LED Strip Per Meter	23.4465	11.3190
HV9761-IP20-320-B-30M	HV9761-IP20-320-B-30M - 9.6w IP20 24v DC Blue COB Dotless LED Strip 30m Roll	602.9100	291.0600
HV9761-IP54-320-B	HV9761-IP54-320-B - 9.6w IP54 24v DC Blue COB Dotless LED Strip	28.5505	13.7830
HV9761-IP54-320-B-10M	HV9761-IP54-320-B-10M - 9.6w IP54 24v DC Blue COB Dotless LED Strip 10m roll	251.2125	121.2750
HV9761-IP54-320-Y	HV9761-IP54-320-Y - 9.6w IP54 24v DC Yellow COB Dotless LED Strip Per Meter	28.5505	13.7830
HV9761-IP54-320-Y-10M	HV9761-IP54-320-Y-10M - 9.6w IP54 24v DC Yellow COB Dotless LED Strip 10m Roll	251.2125	121.2750
HV9761-IP54-320-V	HV9761-IP54-320-V - 9.6w IP54 24v DC Violet COB Dotless LED Strip Per Meter	28.5505	13.7830
