supplier	sku	cost_ex_gst	cost_inc_gst
Aeratron	PL243BLK	511.0000	562.1000
Aeratron	PL243WH	511.0000	562.1000
Aeratron	PL250WH	530.6000	583.6600
Aeratron	PL250SLV	530.6000	583.6600
Aeratron	PL250BLK	530.6000	583.6600
Aeratron	PL250BTL	573.3000	630.6300
Aeratron	PL250TDW	573.3000	630.6300
Aeratron	PL250WTL	573.3000	630.6300
Aeratron	PL260WH	679.0000	746.9000
Aeratron	PL260SLV	679.0000	746.9000
Aeratron	PL260BLK	679.0000	746.9000
Aeratron	PL260BTL	723.8000	796.1800
Aeratron	PL260TDW	723.8000	796.1800
Aeratron	PL260WTL	723.8000	796.1800
Aeratron	PL343WH	534.8000	588.2800
Aeratron	PL343BLK	534.8000	588.2800
Aeratron	PL350WH	553.0000	608.3000
Aeratron	PL350SLV	553.0000	608.3000
Aeratron	PL350BLK	553.0000	608.3000
Aeratron	PL350BTL	609.7000	670.6700
Aeratron	PL350TDW	609.7000	670.6700
Aeratron	PL350WTL	609.7000	670.6700
Aeratron	PL360WH	713.3000	784.6300
Aeratron	PL360SLV	713.3000	784.6300
Aeratron	PL360BLK	713.3000	784.6300
Aeratron	PL360BTL	777.0000	854.7000
Aeratron	PL360TDW	777.0000	854.7000
Aeratron	PL360WTL	777.0000	854.7000
Aeratron	FR343WH	287.7000	316.4700
Aeratron	FR343BLK	287.7000	316.4700
Aeratron	FR350WH	303.8000	334.1800
Aeratron	FR350SLV	303.8000	334.1800
Aeratron	FR350BLK	303.8000	334.1800
Aeratron	FR350BTL	329.0000	361.9000
Aeratron	FR350TDW	329.0000	361.9000
Aeratron	FR350WTL	329.0000	361.9000
Aeratron	FR360WH	408.8000	449.6800
Aeratron	FR360SLV	408.8000	449.6800
Aeratron	FR360BLK	408.8000	449.6800
Aeratron	FR360BTL	436.8000	480.4800
Aeratron	FR360TDW	436.8000	480.4800
Aeratron	FR360WTL	436.8000	480.4800
Aeratron	PL2LKB3	155.4000	170.9400
Aeratron	PL2LKS3	155.4000	170.9400
Aeratron	PL2LKW3	155.4000	170.9400
Aeratron	PL2LKTD3	155.4000	170.9400
Aeratron	PL2LKTP3	155.4000	170.9400
Aeratron	PL3LKB3	162.4000	178.6400
Aeratron	PL3LKS3	162.4000	178.6400
Aeratron	PL3LKW3	162.4000	178.6400
Aeratron	PL3LKTD3	162.4000	178.6400
Aeratron	PL3LKTP3	162.4000	178.6400
Aeratron	FR3LKB3	104.3000	114.7300
Aeratron	FR3LKS3	104.3000	114.7300
Aeratron	FR3LKW3	104.3000	114.7300
Aeratron	FR3LKTD3	104.3000	114.7300
Aeratron	FR3LKTP3	112.0000	123.2000
Aeratron	EKIT900BLK	105.7000	116.2700
Aeratron	EKIT900SLV	105.7000	116.2700
Aeratron	EKIT900WH	105.7000	116.2700
Aeratron	EKIT900BLK-R	105.7000	116.2700
Aeratron	EKIT900SLV-R	105.7000	116.2700
Aeratron	EKIT900WH-R	105.7000	116.2700
Aeratron	PLFR-WIFI	46.2000	50.8200
Aeratron	PLRK45-WIFI	169.4000	186.3400
Aeratron	PLRK60-WIFI	169.4000	186.3400
Aeratron	PLFR-SGS	48.3000	53.1300
Aeratron	PLFR-HAC	66.5000	73.1500
Aeratron	WCKIT	120.4000	132.4400
Aeratron	PLFR-HAC010	198.1000	217.9100
Aeratron	WCKIT-L	120.4000	132.4400
Brilliant Lighting	100EXTGRILLESQ	6.9000	7.5900
Brilliant Lighting	125EXTGRILLESQ	7.9000	8.6900
Brilliant Lighting	150EXTGRILLESQ	8.9000	9.7900
Brilliant Lighting	200EXTGRILLESQ	10.9000	11.9900
Brilliant Lighting	19940	15.1100	16.6200
Brilliant Lighting	22802	25.9400	28.5300
Brilliant Lighting	18208	10.2500	11.2800
Brilliant Lighting	18207	9.0600	9.9700
Brilliant Lighting	18746/11	62.2500	68.4800
Brilliant Lighting	18747/11	88.1900	97.0100
Brilliant Lighting	23026/05	93.3800	102.7200
Brilliant Lighting	23028/05	103.7500	114.1300
Brilliant Lighting	22771/05	93.3800	102.7200
Brilliant Lighting	22773/05	103.7500	114.1300
Brilliant Lighting	23027/05	119.3100	131.2400
Brilliant Lighting	23029/05	129.6900	142.6600
Brilliant Lighting	22772/05	119.3100	131.2400
Brilliant Lighting	22774/05	129.6900	142.6600
Brilliant Lighting	19847/05	119.3100	131.2400
Brilliant Lighting	19849/05	140.0600	154.0700
Brilliant Lighting	22779/05	88.1900	97.0100
Brilliant Lighting	22780/05	119.3100	131.2400
Brilliant Lighting	21478/06	249.0000	273.9000
Brilliant Lighting	21478/05	249.0000	273.9000
Brilliant Lighting	22887/05	149.0000	163.9000
Brilliant Lighting	20351/05	77.8100	85.5900
Brilliant Lighting	20352/05	98.5600	108.4200
Brilliant Lighting	22375/05	88.1900	97.0100
Brilliant Lighting	22376/05	102.7100	112.9800
Brilliant Lighting	23030/05	44.0000	48.4000
Brilliant Lighting	23032/05	70.0000	77.0000
Brilliant Lighting	23031/05	56.0000	61.6000
Brilliant Lighting	23033/05	85.0000	93.5000
Brilliant Lighting	18194/05	51.8800	57.0700
